Nombre del Lugar,Categoria,Dirección,Latitud,Longitud,Tiempo de Estancia,Costo Estimado,Imagen,horaApertura,horaCierre,diasCerrado
"Dulces Regionales ""Nuestros Dulces"", Guadalajara",Postre,Av. 16 de Septiembre 133,"20,6746863","-103,3471794",45,$100,,10:00,19:00,ninguno
"El Gallo Altanero, Guadalajara",Vida Nocturna,Calle Marsella 126,"20,6740616","-103,3707624",30,$60 - $120,,18:00,02:00,"lunes,martes"
"Gallo Cervecero Sportsbar , Guadalajara","Vida Nocturna, Gastronomía",C. Progreso 79,"20,6750469","-103,3670046",20,$20 - $100,,12:00,00:00,ninguno
"Osteria 10, Guadalajara","Postre, Gastronomía",C. Manuel López Cotilla 1498-A,"20,6738854","-103,3696233",30,$40 - $80,,14:00,23:30,"lunes,domingo"
"Bosque Colomos, Guadalajara","Aventura, Naturaleza",Los Colomos Forest,"20,7048846","-103,3910733",60,Gratis,,06:00,20:00,ninguno
"La Boca Parrilla Rustica, Guadalajara","Gastronomía, Gastronomía Mexicana, Vida Nocturna","Miguel, C. Miguel Lerdo de Tejada 2100","20,6716459","-103,3703191",150,$500 - $600,,13:00,00:00,ninguno
"CRAFT Americana, Guadalajara","Gastronomía, Música, Vida Nocturna",Av. de la Paz 1766-Local 2,"20,671765","-103,3639297",90,$300,,12:00,00:00,lunes
"Argento Americana, Guadalajara",Gastronomía,Calle Argentina 355,"20,6714566","-103,361081",90,$300,,13:00,23:00,ninguno
"PINOCCHIO - Pedro Moreno, Guadalajara",Gastronomía,C. Pedro Moreno 1567,"20,6752127","-103,369875",120,$200-$400,,13:00,01:00,ninguno
"Romea, Guadalajara","Gastronomía, Vida Nocturna, Música",C. José María Morelos 1360,"20,6762475","-103,3652095",120,$200-$400,,09:00,01:00,ninguno"Tikuun comedor, Guadalajara",Gastronomía Mexicana,C. Emeterio Robles Gil 50,"20,6757448","-103,3624709",120,"$400 - $2,500",,14:00,23:00,ninguno
"Rosarito, Guadalajara","Gastronomía Mexicana, Gastronomía, Música, Vida Nocturna",Av. Chapultepec Sur 565,"20,6674669","-103,3682254",150,$200-$400,,14:00,02:00,ninguno
"Tyrano, Guadalajara","Gastronomía, Vida Nocturna, Música",C. Pedro Moreno 1212,"20,6756822","-103,36293",150,$300-$600,,14:00,01:00,lunes
"De La O Cantina, Guadalajara","Vida Nocturna, Música",Calle Argentina 70,"20,6751906","-103,3614435",150,$200-$400,,13:00,01:00,martes
"Hueso Restaurante, Guadalajara","Gastronomía, Música, Vida Nocturna",Calle Efraín González Luna 2061,"20,6695522","-103,3697616",150,"$1,200",,19:30,01:00,"lunes,domingo"
"Parque Agua Azul, Guadalajara",Naturaleza,Parque Agua Azul,"20,6595989","-103,3494703",90,Gratis,,10:00,18:00,lunes
"Restaurante Casa Caborca Asador de Carnes Zapopan, Guadalajara","Gastronomía Mexicana, Gastronomía, Vida Nocturna",Av Rafael Sanzio 165,"20,6747396","-103,4298768",150,$400-$600,,13:00,23:00,lunes
Cuerno Andares,"Gastronomía Mexicana, Gastronomía, Postre, Música, Vida Nocturna",Blvd. Puerta de Hierro 4965,"20,712606","-103,4125498",150,"$1,000-$1,500",,12:30,02:00,ninguno
Mantela Restaurante,"Gastronomía, Gastronomía Mexicana, Vida Nocturna",Blvd. Puerta de Hierro 4965,"20,7107409","-103,4124959",150,"$1,000-$1,500",,13:00,23:00,lunes
Mochomos Guadalajara,"Gastronomía, Gastronomía Mexicana, Postre",Av. Patria 188,"20,7074473","-103,4128724",150,"$1,000-$1,500",,13:00,02:00,ninguno
Cotidiano - Restaurante en La Perla,Gastronomía,Av. Mariano Otero 480,"20,6438923","-103,4126551",150,$200-$400,,08:00,21:00,ninguno
Casa Prime Puerta de Hierro,"Gastronomía, Gastronomía Mexicana","Real de Acueducto 210, Real Acueducto","20,7101861","-103,410269",150,"$1,000-$1,500",,13:00,23:00,ninguno
"Ay! Caguamas Ciudad Granja, Guadalajara","Música, Vida Nocturna",Calzada Nte 7195-Interior 19,"20,682391","-103,4461655",150,$200-$400,,13:00,00:00,ninguno
"Punto crema, Guadalajara","Gastronomía, Gastronomía Mexicana, Postre",Calz. Circunvalación Pte 54,"20,6816051","-103,4455426",150,$200-$400,,08:00,21:00,ninguno
"Angelina Bistro, Guadalajara","Gastronomía, Gastronomía Mexicana, Vida Nocturna, Música",Av central no 248B Local LB col,"20,6747619","-103,4517081",150,$200-$400,,09:00,23:00,lunes
"Taberna Central, Guadalajara","Gastronomía, Música, Vida Nocturna",Calz. Central 125 A,"20,6751707","-103,3473385",150,$200-$400,,13:00,00:00,ninguno
"Tía Ofe Pozole Vegano, Guadalajara","Vegana, Comida Calle","Expiatorio, Col Americana, 44160","20,6730264","-103,3588896",30,$100-$150,,18:00,23:00,ninguno
Jamaica Records,Vegana,C. Lope de Vega 123,"20,6727358","-103,3798362",60,$200-$300,,12:00,01:00,lunes
Choclo y Maiz Cocina Vegana,"Cafeterías, Vegana",Calle Gabriel Ramos Millán #37,"20,6765945","-103,3674101",60,$100-$250,,09:00,19:00,miércoles
"Café Sinergia, Guadalajara","Gastronomía, Cafeterías",Guadalajara,20.669755439642028,-103.37041488650674,60,$100-$200,https://tb-static.uber.com/prod/image-proc/processed_images/4edd6091026c1265bdb70258fb49f83d/bc9c318a9c96996e2d990faf2b0c65f6.jpeg,08:00,21:00,ninguno

Amaro Records,Clubs / Bar,,20.680563219938243,-103.3725159964883,120,,,19:00,03:30,"lunes,martes,miercoles,domingo"
